Designator,Mid X,Mid Y,Rotation,Layer
BAT_IN,125.275,-113.7,90.0,top
C1,171.025,-111.45,270.0,top
C2,147.875,-73.6,180.0,top
C3,142.475,-76.1,90.0,top
C4,131.167677,-74.2,0.0,top
C5,171.95,-83.25,90.0,top
D1,148.525,-104.95,0.0,top
Q1,134.275,-119.7,270.0,top
Q2,143.025,-122.2,270.0,top
Q3,161.275,-112.45,0.0,top
Q4,159.475,-102.2,90.0,top
R1,130.525,-99.2,90.0,top
R10,138.275,-75.7,270.0,top
R11,143.275,-96.45,270.0,top
R12,155.525,-99.95,90.0,top
R2,150.275,-120.2,180.0,top
R3,138.525,-120.45,90.0,top
R4,154.025,-123.7,0.0,top
R5,157.025,-116.26,270.0,top
R6,138.525,-106.45,90.0,top
R7,158.025,-77.51,90.0,top
R8,154.025,-85.2,90.0,top
R9,138.275,-86.11,90.0,top
SW1,147.525,-113.95,180.0,top
U1,146.925,-78.0,270.0,top
U2,146.045,-87.71,180.0,bottom
U3,163.875,-88.195,0.0,top
